_id,symbol,name,algorithm
ObjectID(5999683861425df2da345432),"BCH","Bitcoin Cash","SHA-256"
ObjectID(5999683861425df2da345433),"BTC","Bitcoin","SHA-256"
ObjectID(5999683861425df2da345434),"ETH","Ether","Ethash"
ObjectID(5999683861425df2da345435),"DASH","DASH","None"
ObjectID(5999683861425df2da345436),"IOT","IOTA","None"
ObjectID(5999683861425df2da345437),"BCC","Bitcash","SHA-256"
ObjectID(5999683861425df2da345438),"OMG","OmiseGo","None"
ObjectID(5999683861425df2da345439),"YBC","YbCoin","None"
ObjectID(5999683861425df2da34543a),"LTC","Litecoin","Scrypt"
ObjectID(5999683861425df2da34543b),"ZEC","Zcash","None"
ObjectID(5999683861425df2da34543c),"NEO","Neo","None"
ObjectID(5999683861425df2da34543d),"XRP","Ripple","None"
ObjectID(5999683861425df2da34543e),"QTUM","Qtum","None"
ObjectID(5999683861425df2da34543f),"XMR","Monero","None"
ObjectID(5999683861425df2da345440),"EOS","EOS","None"
ObjectID(5999683861425df2da345441),"ETC","Ethereum Classic","None"
ObjectID(5999683861425df2da345442),"MCO","Monaco","None"
ObjectID(5999683861425df2da345443),"PAY","TenX","None"
ObjectID(5999683861425df2da345444),"ADX","AdEx","None"
ObjectID(5999683861425df2da345445),"LSK","Lisk","None"
ObjectID(5999683861425df2da345446),"SNT","Status","None"
ObjectID(5999683861425df2da345447),"BTS","BitShares","None"
ObjectID(5999683861425df2da345448),"ICO","ICO","None"
ObjectID(5999683861425df2da345449),"STRAT","Stratis","None"
ObjectID(5999683861425df2da34544a),"CVC","Civic","None"
ObjectID(5999683861425df2da34544b),"WAVES","Waves","None"
ObjectID(5999683861425df2da34544c),"BAT","Basic Attention Token","None"
ObjectID(5999683861425df2da34544d),"MTL","Metal","None"
ObjectID(5999683861425df2da34544e),"XEM","NEM","None"
ObjectID(5999683861425df2da34544f),"NXT","Nxt","None"
ObjectID(5999683861425df2da345450),"ARK","Ark","None"
ObjectID(5999683861425df2da345451),"SYNX","Syndicate","POS"
ObjectID(5999683861425df2da345452),"GNT","Golem","None"
ObjectID(5999683861425df2da345453),"FCT","Factom","None"
ObjectID(5999683861425df2da345454),"SC","Siacoin","None"
ObjectID(5999683861425df2da345455),"SYS","SysCoin","None"
ObjectID(5999683861425df2da345456),"DGB","DigiByte","scrypt"
ObjectID(5999683861425df2da345457),"EXP","EXP","None"
ObjectID(5999683861425df2da345458),"UNB","UnbreakableCoin","None"
ObjectID(5999683861425df2da345459),"EDG","Edgeless","None"
ObjectID(5999683861425df2da34545a),"GBYTE","Byteball","None"
ObjectID(5999683861425df2da34545b),"QRL","Quantum Resistant Ledger","None"
ObjectID(5999683861425df2da34545c),"PIVX","PIVX","None"
ObjectID(5999683861425df2da34545d),"SAFEX","Safe Exchange Coin","None"
ObjectID(5999683861425df2da34545e),"STORJ","StorjCoins","None"
ObjectID(5999683861425df2da34545f),"UBQ","Ubiq","None"
ObjectID(5999683861425df2da345460),"DOGE","DogeCoin","Scrypt"
ObjectID(5999683861425df2da345461),"MUE","MonetaryUnit","None"
ObjectID(5999683861425df2da345462),"GEO","GEO","None"
ObjectID(5999683861425df2da345463),"SAN","Santiment Network Token","None"
ObjectID(5999683861425df2da345464),"TKN","TokenCard","None"
ObjectID(5999683861425df2da345465),"ARDR","Ardor","None"
ObjectID(5999683861425df2da345466),"GAME","GameCredits","None"
ObjectID(5999683861425df2da345467),"TRUST","TrustPlus","None"
ObjectID(5999683861425df2da345468),"TMC","Timecoin","None"
ObjectID(5999683861425df2da345469),"XVG","Verge","None"
ObjectID(5999683861425df2da34546a),"FUN","FunFair","None"
ObjectID(5999683861425df2da34546b),"LBC","LBRY Credits","None"
ObjectID(5999683861425df2da34546c),"HMQ","Humaniq","None"
ObjectID(5999683861425df2da34546d),"XEL","Elastic","None"
ObjectID(5999683861425df2da34546e),"QWARK","Qwark","None"
ObjectID(5999683861425df2da34546f),"CRW","CrownCoin","None"
ObjectID(5999683861425df2da345470),"OAX","OAX","None"
ObjectID(5999683861425df2da345471),"XZC","ZCoin","None"
ObjectID(5999683861425df2da345472),"ANT","Aragon","None"
ObjectID(5999683861425df2da345473),"SNGLS","SingularDTV","None"
ObjectID(5999683861425df2da345474),"DCR","Decred","None"
ObjectID(5999683861425df2da345475),"1ST","FirstBlood","None"
ObjectID(5999683861425df2da345476),"BNT","Bancor","None"
ObjectID(5999683861425df2da345477),"PTOY","Patientory","None"
ObjectID(5999683861425df2da345478),"ZCC","ZcCoin","None"
ObjectID(5999683861425df2da345479),"LUN","Lunyr","None"
ObjectID(5999683861425df2da34547a),"NMR","Numeraire","None"
ObjectID(5999683861425df2da34547b),"BAY","BitBay","None"
ObjectID(5999683861425df2da34547c),"STEEM","Steem","None"
ObjectID(5999683861425df2da34547d),"DCT","DECENT","None"
ObjectID(5999683861425df2da34547e),"XLM","Stellar Lumens","None"
ObjectID(5999683861425df2da34547f),"ICN","Iconomi","None"
ObjectID(5999683861425df2da345480),"CFI","Cofound.it","None"
ObjectID(5999683861425df2da345481),"SIGMA","Sigma","None"
ObjectID(5999683861425df2da345482),"VTC","VertCoin","None"
ObjectID(5999683861425df2da345483),"SNM","SONM","None"
ObjectID(5999683861425df2da345484),"WINGS","Wings","None"
ObjectID(5999683861425df2da345485),"MAID","MaidSafeCoin","None"
ObjectID(5999683861425df2da345486),"MCAP","MCAP","None"
ObjectID(5999683861425df2da345487),"RDD","Reddcoin","None"
ObjectID(5999683861425df2da345488),"MGO","MobileGo","None"
ObjectID(5999683861425df2da345489),"KORE","KoreCoin","None"
ObjectID(5999683861425df2da34548a),"STX","Stox","None"
